dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,resource_created_at,error_type,resource_extension,organization_or_owner,is_orga,resource_found_by,initial_version_name,is_valid_v_2.2.0,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,columns_issue,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success
620e15fef100514f18bed7a6,Infrastructures de recharge pour véhicules électriques (organisation MEA ENERGIES),infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-7,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-7/,6ba59e58-7e39-4c33-8e5e-1d1f8540045a,Infrastructures de recharge pour véhicules électriques (organisation MEA ENERGIES),https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-7/20220217-103143/data.csv,2023-10-22T06:55:00.152000+00:00,2022-02-17T10:31:43.231000+00:00,,csv,mea-energies,True,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
620e0fc59023edc23d0a6eae,Infrastructures de recharge pour véhicules électriques (organisation AEROPORT DE LYON),infrastructures-de-recharge-pour-vehicules-electriques-organisation-aeroport-de-lyon,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-organisation-aeroport-de-lyon/,029a7a45-e277-42d2-a6c7-2d06df670fca,donnees-irve-aeroport-de-lyon.csv,https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-aeroport-de-lyon/20220217-100509/data.csv,2023-10-22T06:55:00.525000+00:00,2022-02-17T10:05:09.577000+00:00,,csv,aeroport-de-lyon,True,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
620e0e95a29bf3696333dd08,Infrastructures de recharge pour véhicules électriques (organisation MEA ENERGIES),infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-5,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-5/,5a384e3d-04bd-4939-8f2c-3aa46586f6cd,Infrastructures de recharge pour véhicules électriques (organisation MEA ENERGIES),https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-5/20220217-100005/data.csv,2023-10-22T06:55:00.899000+00:00,2022-02-17T10:00:05.561000+00:00,,csv,mea-energies,True,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
620e0c5f4fca38412e424b58,Infrastructures de recharge pour véhicules électriques (organisation MEA ENERGIES),infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-4,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-4/,396c2d84-c1fb-4abd-8cd4-65a7de530fad,Infrastructures de recharge pour véhicules électriques (organisation MEA ENERGIES),https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-mea-energies-4/20220217-095040/data.csv,2023-10-22T06:55:01.164000+00:00,2022-02-17T09:50:40.288000+00:00,,csv,mea-energies,True,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
620d242c0d6f10cff81959ab,Infrastructures de recharge pour véhicules électriques,infrastructures-de-recharge-pour-vehicules-electriques-69,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-69/,bffe9708-8572-44a0-9225-a18301b1c003,monfichier.csv,https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-69/20220216-171956/data.csv,2023-10-22T06:55:01.490000+00:00,2022-02-16T17:19:56.642000+00:00,,csv,vincent-moule,False,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
6213c94ab9fe60765d7c4ab4,Infrastructures de recharge pour véhicules électriques (organisation BORNE IS BORN),infrastructures-de-recharge-pour-vehicules-electriques-organisation-borne-is-born,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-organisation-borne-is-born/,1a213dca-a394-4708-80c2-c70094949926,CHATEAU DE MEMANAT,https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-borne-is-born/20220606-120440/data.csv,2023-10-22T06:55:01.723000+00:00,2022-06-06T12:04:40.672000+00:00,,csv,borne-is-born,True,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
620d220566daca0cb793ec2e,Infrastructures de recharge pour véhicules électriques,infrastructures-de-recharge-pour-vehicules-electriques-68,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-68/,41a6bdc8-31fd-4f2d-b353-281d26d662d2,monfichier.csv,https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-68/20220216-171045/data.csv,2023-10-22T06:55:02.018000+00:00,2022-02-16T17:10:45.710000+00:00,,csv,vincent-moule,False,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
620a8074248e55942cfca558,Castres-equipement-202202,castres-equipement-202202,https://www.data.gouv.fr/fr/datasets/castres-equipement-202202/,6e4eaf62-f523-4e5b-b6d6-8c61eaf1b1bb,quiberville.csv,https://static.data.gouv.fr/resources/castres-equipement-202202/20220214-171704/quiberville.csv,2023-10-22T06:55:02.427000+00:00,2022-02-14T17:17:04.984000+00:00,,csv,c4energies,True,1 - schema request,2.2.0,False,False,,False,,,False,False,True,False,False
6206751195a42c8cc3c1c5fa,Infrastructures de recharge pour véhicules électriques (organisation ACELEC CHARGE),infrastructures-de-recharge-pour-vehicules-electriques-organisation-acelec-charge,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-organisation-acelec-charge/,70dde2a8-8498-4c8a-a28a-6e23631be45f,donnees-irve-acelec-charge.csv,https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-acelec-charge/20220721-143624/data.csv,2023-10-22T06:55:02.904000+00:00,2022-07-21T14:36:25.038000+00:00,,csv,acelec-charge,True,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
6203d93133518c9ae860a4b9,OCR MAINTENANCE ELECTRONIQUE Infrastructures de recharge pour véhicules électriques (organisation INFOROMU),ocr-maintenance-electronique-infrastructures-de-recharge-pour-vehicules-electriques-organisation-inforomu,https://www.data.gouv.fr/fr/datasets/ocr-maintenance-electronique-infrastructures-de-recharge-pour-vehicules-electriques-organisation-inforomu/,b6da742d-2817-440f-b8e1-9e9f02f12880,OCR MAINTENANCE ELECTRONIQUE,https://static.data.gouv.fr/resources/infrastructures-de-recharge-pour-vehicules-electriques-organisation-inforomu/20220209-160937/data.csv,2023-10-22T06:55:03.078000+00:00,2022-02-09T16:09:37.556000+00:00,,csv,inforomu,True,1 - schema request,2.2.0,True,True,2.2.0,True,False,,False,False,False,,
